name,coefficient,abs_value
pompeii,131.1781821065773,131.1781821065773
met_offic,-121.60743003792741,121.60743003792741
uk_britain,-108.0786319714577,108.0786319714577
environ_agenc,-107.61810971194738,107.61810971194738
bori_johnson,-107.39811528756466,107.39811528756466
coronaviru_uk,-106.16379061898583,106.16379061898583
storm_denni,-97.09983512940008,97.09983512940008
grassland,-94.06045394277066,94.06045394277066
storm_ciara,-91.55627750351674,91.55627750351674
drought,87.41608212434099,87.41608212434099
