name,coefficient,abs_value
wash,453.16203212972863,453.16203212972863
offic_met,422.58355355334623,422.58355355334623
severn_avon,416.7830712059048,416.7830712059048
advisori_servic,377.1736213550565,377.1736213550565
uk_bbc,353.50675832555487,353.50675832555487
wale_northern,330.8154383497436,330.8154383497436
miriam,323.15869958960445,323.15869958960445
uk_met,318.10701809377156,318.10701809377156
public_health,309.7623549888737,309.7623549888737
scotland_wale,309.7103362358249,309.7103362358249
