name,coefficient,abs_value
guayaquil,271.9452276196606,271.9452276196606
tougher,-243.63010652655095,243.63010652655095
pm_scott,238.4386170238446,238.4386170238446
coronaviru_prime,220.0615321434989,220.0615321434989
hermit,216.47714331137985,216.47714331137985
foreign,202.54359423652411,202.54359423652411
shinzo_abe,198.44951890214426,198.44951890214426
prevent_day,197.02111197509203,197.02111197509203
report_uk,195.79172330842044,195.79172330842044
singapor,191.4734145367308,191.4734145367308
